fpr,tpr,threshold,threshold_infinito
0.0,0.0,,True
0.0,0.0021598272138228943,0.998696779347629,False
0.0,0.07127429805615551,0.9890083950715526,False
0.006172839506172839,0.07127429805615551,0.9866247321105782,False
0.006172839506172839,0.30669546436285094,0.9104627844075446,False
0.012345679012345678,0.30669546436285094,0.9096786294646614,False
0.012345679012345678,0.3174946004319654,0.9057532645009939,False
0.018518518518518517,0.3174946004319654,0.9042212950485639,False
0.018518518518518517,0.35853131749460043,0.8887947319238312,False
0.037037037037037035,0.35853131749460043,0.8873208907142031,False
0.037037037037037035,0.37365010799136067,0.8818263887658723,False
0.043209876543209874,0.37365010799136067,0.8817731419353434,False
0.043209876543209874,0.38228941684665224,0.8738704747505219,False
0.04938271604938271,0.38228941684665224,0.873131230223022,False
0.04938271604938271,0.4708423326133909,0.8362996039666574,False
0.05555555555555555,0.4708423326133909,0.8362389382409252,False
0.05555555555555555,0.5053995680345572,0.813888048536183,False
0.06172839506172839,0.5053995680345572,0.8120336034839314,False
0.06172839506172839,0.5140388768898488,0.8052806431844359,False
0.06790123456790123,0.5140388768898488,0.8051419523051084,False
0.06790123456790123,0.5205183585313174,0.799622226157516,False
0.07407407407407407,0.5205183585313174,0.7978814147436348,False
0.07407407407407407,0.5269978401727862,0.794521981970935,False
0.08024691358024691,0.5269978401727862,0.7910169450267178,False
0.08024691358024691,0.5658747300215983,0.7583860358999692,False
0.09259259259259259,0.5658747300215983,0.7555622733191681,False
0.09259259259259259,0.6328293736501079,0.696656598422459,False
0.09876543209876543,0.6328293736501079,0.6961046298653499,False
0.09876543209876543,0.652267818574514,0.688800344403129,False
0.10493827160493827,0.652267818574514,0.6852330511434972,False
0.10493827160493827,0.6630669546436285,0.6763661038610579,False
0.1111111111111111,0.6630669546436285,0.6751145904970406,False
0.1111111111111111,0.6760259179265659,0.667445209826227,False
0.11728395061728394,0.6760259179265659,0.666400100601915,False
0.11728395061728394,0.6825053995680346,0.6643780261434613,False
0.12345679012345678,0.6825053995680346,0.6583963323279145,False
0.12345679012345678,0.6954643628509719,0.650389723456123,False
0.12962962962962962,0.6954643628509719,0.6497524331796108,False
0.12962962962962962,0.7192224622030238,0.6228433788466805,False
0.13580246913580246,0.7192224622030238,0.6223854429184944,False
0.13580246913580246,0.7213822894168467,0.6198910379338047,False
0.14814814814814814,0.7213822894168467,0.617071300350179,False
0.14814814814814814,0.7321814254859611,0.5896347678891661,False
0.15432098765432098,0.7321814254859611,0.5863364632844351,False
0.15432098765432098,0.7602591792656588,0.5522349109694662,False
0.16666666666666666,0.7602591792656588,0.5375254156583196,False
0.16666666666666666,0.7645788336933045,0.5343837074477638,False
0.17901234567901234,0.7645788336933045,0.5330065445297937,False
0.17901234567901234,0.7667386609071274,0.5283452817314567,False
0.18518518518518517,0.7667386609071274,0.5235845320113552,False
0.18518518518518517,0.7840172786177105,0.4907580956170005,False
0.2037037037037037,0.7840172786177105,0.4834885534089486,False
0.2037037037037037,0.7861771058315334,0.4833342898799634,False
0.20987654320987653,0.7861771058315334,0.4799394386512792,False
0.20987654320987653,0.8077753779697624,0.45672230755571813,False
0.2222222222222222,0.8077753779697624,0.45198201839545377,False
0.2222222222222222,0.816414686825054,0.43895184992940384,False
0.25925925925925924,0.816414686825054,0.41625213809241174,False
0.25925925925925924,0.8207343412526998,0.41186274142940027,False
0.2654320987654321,0.8207343412526998,0.41079990699412533,False
0.2654320987654321,0.8358531317494601,0.3969860133841922,False
0.2716049382716049,0.8358531317494601,0.3933122371172219,False
0.2716049382716049,0.8401727861771058,0.38937019401407935,False
0.2839506172839506,0.8401727861771058,0.37557231887468917,False
0.2839506172839506,0.8444924406047516,0.3636940920556807,False
0.29012345679012347,0.8444924406047516,0.3611047055074618,False
0.29012345679012347,0.8617710583153347,0.3499143944111144,False
0.2962962962962963,0.8617710583153347,0.34822485724970786,False
0.2962962962962963,0.8639308855291576,0.34515769390924056,False
0.30864197530864196,0.8639308855291576,0.34338389339789205,False
0.30864197530864196,0.8704103671706264,0.3350845811359245,False
0.32098765432098764,0.8704103671706264,0.3312142144990014,False
0.32098765432098764,0.8768898488120951,0.3277993994929169,False
0.3271604938271605,0.8768898488120951,0.32326167658391397,False
0.3271604938271605,0.8855291576673866,0.31936315524995096,False
0.3333333333333333,0.8855291576673866,0.3174151782755828,False
0.3333333333333333,0.8920086393088553,0.3149404811507117,False
0.345679012345679,0.8920086393088553,0.3054376584117513,False
0.345679012345679,0.8941684665226782,0.3020550439839966,False
0.35802469135802467,0.8941684665226782,0.3001230463816036,False
0.35802469135802467,0.896328293736501,0.3000142249132216,False
0.36419753086419754,0.896328293736501,0.29518238359436744,False
0.36419753086419754,0.8984881209503239,0.29269275136742023,False
0.37037037037037035,0.8984881209503239,0.2892152767985913,False
0.37037037037037035,0.9049676025917927,0.2755748884255534,False
0.38271604938271603,0.9049676025917927,0.2724316068266452,False
0.38271604938271603,0.9071274298056156,0.27143137555160124,False
0.3950617283950617,0.9071274298056156,0.2697852744558048,False
0.3950617283950617,0.9136069114470843,0.2661223890405171,False
0.4012345679012346,0.9136069114470843,0.26485473027989487,False
0.4012345679012346,0.91792656587473,0.2507599292054699,False
0.4074074074074074,0.91792656587473,0.2506432354088566,False
0.4074074074074074,0.9222462203023758,0.24501488259339868,False
0.41975308641975306,0.9222462203023758,0.24346910847672318,False
0.41975308641975306,0.9287257019438445,0.2344193428692611,False
0.42592592592592593,0.9287257019438445,0.2340702221465283,False
0.42592592592592593,0.9330453563714903,0.2266880773543066,False
0.4567901234567901,0.9330453563714903,0.215878003580411,False
0.4567901234567901,0.9352051835853131,0.21111322312237138,False
0.47530864197530864,0.9352051835853131,0.2069102290856211,False
0.47530864197530864,0.9395248380129589,0.20132142068278636,False
0.48148148148148145,0.9395248380129589,0.19830741683895942,False
0.48148148148148145,0.9416846652267818,0.19447343985315138,False
0.49382716049382713,0.9416846652267818,0.19109496301365916,False
0.49382716049382713,0.9438444924406048,0.18897207845675482,False
0.5123456790123457,0.9438444924406048,0.17674471613627918,False
0.5123456790123457,0.9460043196544277,0.17159077331935368,False
0.5185185185185185,0.9460043196544277,0.17010372467291313,False
0.5185185185185185,0.9503239740820735,0.16461325114239864,False
0.5308641975308642,0.9503239740820735,0.16339447976851082,False
0.5308641975308642,0.9524838012958964,0.16242189362608103,False
0.5370370370370371,0.9524838012958964,0.16034159173264176,False
0.5370370370370371,0.9546436285097192,0.1587278714940909,False
0.5432098765432098,0.9546436285097192,0.1580402376726683,False
0.5432098765432098,0.958963282937365,0.15367818724703552,False
0.5493827160493827,0.958963282937365,0.15207494694774737,False
0.5493827160493827,0.9611231101511879,0.14415338015528073,False
0.5555555555555556,0.9611231101511879,0.13971583830742038,False
0.5555555555555556,0.9632829373650108,0.13871737840620924,False
0.5740740740740741,0.9632829373650108,0.13283244846025452,False
0.5740740740740741,0.9654427645788337,0.13224277031971177,False
0.5987654320987654,0.9654427645788337,0.12849962128394807,False
0.5987654320987654,0.9697624190064795,0.12545330552899261,False
0.6234567901234568,0.9697624190064795,0.11696390380596491,False
0.6234567901234568,0.9719222462203023,0.11600645355640656,False
0.6358024691358025,0.9719222462203023,0.1139871912552447,False
0.6358024691358025,0.9740820734341252,0.11253867351538419,False
0.6419753086419753,0.9740820734341252,0.1114574980681839,False
0.6419753086419753,0.9762419006479481,0.10683616549464255,False
0.6481481481481481,0.9762419006479481,0.10609184595164063,False
0.6481481481481481,0.978401727861771,0.10541615978065244,False
0.6604938271604939,0.978401727861771,0.10139895094102219,False
0.6604938271604939,0.980561555075594,0.10004839818413046,False
0.6728395061728395,0.980561555075594,0.09748468646783276,False
0.6728395061728395,0.9827213822894169,0.09603549814184338,False
0.6790123456790124,0.9827213822894169,0.09158349550524784,False
0.6790123456790124,0.9848812095032398,0.08919743882771632,False
0.691358024691358,0.9848812095032398,0.08789431661774864,False
0.691358024691358,0.9870410367170627,0.08655217650433902,False
0.6975308641975309,0.9870410367170627,0.08172528818227254,False
0.6975308641975309,0.9892008639308856,0.07993718941777075,False
0.7345679012345679,0.9892008639308856,0.07276675439680162,False
0.7345679012345679,0.9935205183585313,0.0706438988297245,False
0.7469135802469136,0.9935205183585313,0.06653700887389746,False
0.7469135802469136,0.9956803455723542,0.05827007587265513,False
0.8765432098765432,0.9956803455723542,0.02498706106867117,False
0.8765432098765432,0.9978401727861771,0.02443748506361206,False
0.9320987654320988,0.9978401727861771,0.017334616871617095,False
0.9320987654320988,1.0,0.01707203490369362,False
1.0,1.0,0.002921405850459759,False
